Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad
Sur,E0,00:00:00,5038,0.01,1822.84,19.98,0.00
Sur,E0,00:00:00,5037,0.02,1822.63,35.14,0.00
Sur,E0,00:00:00,5036,0.02,1822.73,34.17,0.00
Sur,E0,00:00:00,2785,0.02,1821.79,36.47,0.00
Sur,E0,00:00:00,2214,0.04,1821.94,42.17,0.00
Sur,E0,00:00:00,5026,0.00,1821.91,42.65,0.00
Sur,E0,00:00:00,1263,0.06,1821.87,41.32,0.00
Sur,E0,00:00:00,2234,0.03,1821.87,41.52,0.00
Sur,E0,00:00:00,2321,0.14,1821.95,29.49,0.00
Sur,E0,00:00:00,2316,0.07,1821.86,33.39,0.00
Sur,E0,00:00:00,10013,0.02,1821.71,16.90,0.00
Sur,E0,00:00:00,10022,0.05,1821.87,41.57,0.00
Sur,E0,00:00:00,10025,0.00,1822.50,30.41,0.00
Sur,E0,00:00:00,1066,0.03,1821.87,49.21,0.00
Sur,E0,00:00:00,10067,0.04,1822.12,40.33,0.00
Sur,E0,00:00:00,2302,0.08,1821.86,40.52,0.00
Sur,E0,00:00:00,2786,0.07,1821.79,35.88,0.00
Sur,E0,00:00:00,2199,0.10,1822.04,39.51,0.00
Sur,E0,00:00:00,5682,0.04,1822.03,40.61,0.00
Sur,E0,00:00:00,2202,0.12,1822.01,40.11,0.00
Sur,E0,00:00:00,2205,0.13,1821.98,40.49,0.00
Sur,E0,00:00:00,5681,0.01,1821.97,40.91,0.00
Sur,E0,00:00:00,2208,0.01,1821.97,40.65,0.00
Sur,E0,00:00:00,2211,0.07,1821.96,40.74,0.00
Sur,E0,00:00:00,2221,0.08,1821.91,40.67,0.00
Sur,E0,00:00:00,2224,0.05,1821.90,40.57,0.00
Sur,E0,00:00:00,2227,0.01,1821.89,40.66,0.00
Sur,E0,00:00:00,2292,0.09,1821.87,36.34,0.00
Sur,E0,00:00:00,2297,0.05,1821.87,40.60,0.00
Sur,E0,00:00:00,2240,0.06,1821.87,40.76,0.00
Sur,E0,00:00:00,2239,0.12,1821.88,40.65,0.00
Sur,E0,00:00:00,2301,0.08,1821.87,41.19,0.00
Sur,E0,00:00:00,1259,0.04,1821.87,41.65,0.00
Sur,E0,00:00:00,5668,0.00,1821.79,35.46,0.00
Sur,E0,00:00:00,5664,0.02,1821.87,41.33,0.00
Sur,E0,00:00:00,5660,0.08,1822.37,37.31,0.00
Sur,E0,00:00:00,5659,0.01,1822.51,35.88,0.00
Sur,E0,00:00:00,5658,0.06,1822.13,41.28,0.00
Sur,E0,00:00:00,5657,0.02,1822.05,39.57,0.00
Sur,E0,00:00:00,5656,0.02,1822.04,39.66,0.00
Sur,E0,00:00:00,5655,0.00,1822.03,40.68,0.00
Sur,E0,00:00:00,5652,0.07,1821.79,34.94,0.00
Sur,E0,00:00:00,2792,0.08,1821.76,22.55,0.00
Sur,E0,00:00:00,2303,0.08,1821.86,39.68,0.00
Sur,E0,00:00:00,2306,0.06,1821.86,38.30,0.00
Sur,E0,00:00:00,2330,0.04,1821.84,29.25,0.00
Sur,E0,00:00:00,5623,0.13,1821.86,36.61,0.00
Sur,E0,00:00:00,2315,0.05,1821.86,34.14,0.00
Sur,E0,00:00:00,2843,0.03,1821.79,34.90,0.00
Sur,E0,00:00:00,2780,0.05,1821.81,35.63,0.00
Sur,E0,00:00:00,2778,0.04,1821.82,35.68,0.00
Sur,E0,00:00:00,2770,0.06,1821.84,35.90,0.00
Sur,E0,00:00:00,2274,0.00,1822.50,30.43,0.00
Sur,E0,00:00:00,2273,0.03,1822.50,30.98,0.00
Sur,E0,00:00:00,2749-1,0.07,1821.96,34.86,0.00
Sur,E0,00:00:00,2750,0.01,1821.96,33.55,0.00
Sur,E0,00:00:00,2755,0.04,1821.91,35.84,0.00
Sur,E0,00:00:00,2753,0.04,1821.92,35.99,0.00
Sur,E0,00:00:00,2195,0.05,1821.96,35.60,0.00
Sur,E0,00:00:00,2193,0.11,1821.98,35.60,0.00
Sur,E0,00:00:00,2191,0.14,1822.12,36.82,0.00
Sur,E0,00:00:00,2238,0.09,1821.87,40.93,0.00
Sur,E0,00:00:00,2176,0.07,1821.87,42.13,0.00
Sur,E0,00:00:00,2178,0.03,1821.88,43.42,0.00
